Below is Time Logs: 
Below is time_logs: for gs://apfm-dev/LID19673118_CID86573377_Bill_Turner_20200220.wav
Word: please, start_time: 0.0,end_time: 0.4 
Word: it, start_time: 15.5,end_time: 15.8 
Word: but, start_time: 15.8,end_time: 16.7 
Word: to, start_time: 16.7,end_time: 16.8 
Word: make, start_time: 16.8,end_time: 17.0 
Word: things, start_time: 17.0,end_time: 17.1 
Word: easier, start_time: 17.1,end_time: 17.8 
Word: for, start_time: 17.8,end_time: 17.9 
Word: you, start_time: 17.9,end_time: 18.3 
Word: instead, start_time: 18.3,end_time: 18.6 
Word: of, start_time: 18.6,end_time: 19.0 
Word: having, start_time: 19.0,end_time: 19.1 
Word: to, start_time: 19.1,end_time: 19.3 
Word: physically, start_time: 19.3,end_time: 19.7 
Word: sign, start_time: 19.7,end_time: 20.0 
Word: something, start_time: 20.0,end_time: 20.6 
Word: we, start_time: 20.6,end_time: 21.2 
Word: can, start_time: 21.2,end_time: 21.4 
Word: actually, start_time: 21.4,end_time: 21.6 
Word: have, start_time: 21.6,end_time: 21.9 
Word: you, start_time: 21.9,end_time: 22.0 
Word: sign, start_time: 22.0,end_time: 22.2 
Word: over, start_time: 22.2,end_time: 22.4 
Word: the, start_time: 22.4,end_time: 22.6 
Word: phone, start_time: 22.6,end_time: 22.8 
Word: now, start_time: 22.8,end_time: 23.0 
Word: bye, start_time: 23.0,end_time: 23.3 
Word: recording, start_time: 23.3,end_time: 23.9 
Word: this, start_time: 23.9,end_time: 24.0 
Word: conversation, start_time: 24.0,end_time: 24.4 
Word: is, start_time: 24.4,end_time: 25.1 
Word: that, start_time: 25.1,end_time: 25.2 
Word: arrived, start_time: 25.2,end_time: 25.5 
Word: yet, start_time: 25.5,end_time: 26.4 
Word: awesome, start_time: 27.4,end_time: 28.1 
Word: and, start_time: 28.1,end_time: 28.9 
Word: just, start_time: 28.9,end_time: 29.0 
Word: let, start_time: 29.0,end_time: 29.4 
Word: you, start_time: 29.4,end_time: 29.5 
Word: know, start_time: 29.5,end_time: 29.6 
Word: Caroline, start_time: 29.6,end_time: 30.1 
Word: our, start_time: 30.1,end_time: 30.3 
Word: service, start_time: 30.3,end_time: 30.7 
Word: is, start_time: 30.7,end_time: 30.8 
Word: free, start_time: 30.8,end_time: 31.0 
Word: to, start_time: 31.0,end_time: 31.3 
Word: you, start_time: 31.3,end_time: 31.4 
Word: because, start_time: 31.4,end_time: 32.2 
Word: we, start_time: 32.2,end_time: 32.6 
Word: are, start_time: 32.6,end_time: 32.7 
Word: paid, start_time: 32.7,end_time: 33.0 
Word: a, start_time: 33.0,end_time: 33.2 
Word: referral, start_time: 33.2,end_time: 33.4 
Word: fee, start_time: 33.4,end_time: 33.8 
Word: by, start_time: 33.8,end_time: 34.2 
Word: our, start_time: 34.2,end_time: 34.4 
Word: partner, start_time: 34.4,end_time: 34.9 
Word: communities, start_time: 34.9,end_time: 35.0 
Word: only, start_time: 35.0,end_time: 36.4 
Word: if, start_time: 36.4,end_time: 36.6 
Word: we, start_time: 36.6,end_time: 36.7 
Word: help, start_time: 36.7,end_time: 36.9 
Word: you, start_time: 36.9,end_time: 37.0 
Word: find, start_time: 37.0,end_time: 37.4 
Word: a, start_time: 37.4,end_time: 37.4 
Word: good, start_time: 37.4,end_time: 37.5 
Word: fit, start_time: 37.5,end_time: 37.6 
Word: you, start_time: 37.6,end_time: 38.1 
Word: decide, start_time: 38.1,end_time: 38.5 
Word: to, start_time: 38.5,end_time: 38.7 
Word: move, start_time: 38.7,end_time: 38.8 
Word: in, start_time: 38.8,end_time: 39.0 
Word: today, start_time: 39.0,end_time: 40.2 
Word: for, start_time: 40.2,end_time: 40.6 
Word: the, start_time: 40.6,end_time: 40.7 
Word: community, start_time: 40.7,end_time: 41.3 
Word: ranges, start_time: 41.3,end_time: 41.9 
Word: from, start_time: 41.9,end_time: 42.2 
Word: 78%, start_time: 42.2,end_time: 43.5 
Word: to, start_time: 43.5,end_time: 43.7 
Word: 120%, start_time: 43.7,end_time: 45.0 
Word: of, start_time: 45.0,end_time: 45.0 
Word: the, start_time: 45.0,end_time: 45.1 
Word: first, start_time: 45.1,end_time: 45.4 
Word: month's, start_time: 45.4,end_time: 45.7 
Word: rent, start_time: 45.7,end_time: 45.7 
Word: depending, start_time: 46.0,end_time: 46.8 
Word: upon, start_time: 46.8,end_time: 47.0 
Word: the, start_time: 47.0,end_time: 47.2 
Word: agreement, start_time: 47.2,end_time: 47.7 
Word: with, start_time: 47.7,end_time: 47.7 
Word: the, start_time: 47.7,end_time: 47.9 
Word: community, start_time: 47.9,end_time: 48.3 
Word: no, start_time: 48.3,end_time: 49.0 
Word: one, start_time: 49.0,end_time: 49.2 
Word: can, start_time: 49.2,end_time: 49.4 
Word: ever, start_time: 49.4,end_time: 49.5 
Word: charge, start_time: 49.5,end_time: 50.0 
Word: you, start_time: 50.0,end_time: 50.0 
Word: more, start_time: 50.0,end_time: 50.2 
Word: because, start_time: 50.2,end_time: 50.6 
Word: you, start_time: 50.6,end_time: 50.9 
Word: use, start_time: 50.9,end_time: 51.2 
Word: our, start_time: 51.2,end_time: 51.3 
Word: services, start_time: 51.3,end_time: 51.8 
Word: do, start_time: 51.8,end_time: 52.7 
Word: you, start_time: 52.7,end_time: 52.8 
Word: understand, start_time: 52.8,end_time: 53.5 
Word: that, start_time: 53.5,end_time: 53.6 
Word: our, start_time: 53.6,end_time: 53.8 
Word: services, start_time: 53.8,end_time: 54.4 
Word: are, start_time: 54.4,end_time: 54.7 
Word: free, start_time: 54.7,end_time: 55.0 
Word: to, start_time: 55.0,end_time: 55.4 
Word: you, start_time: 55.4,end_time: 55.6 
Word: yes, start_time: 55.8,end_time: 56.7 
Word: please, start_time: 0.0,end_time: 0.4 
Word: confirm, start_time: 0.4,end_time: 0.6000000000000001 
Word: you, start_time: 0.6000000000000001,end_time: 1.8 
Word: are, start_time: 1.8,end_time: 2.0 
Word: Carolyn, start_time: 2.0,end_time: 2.7 
Word: Turner, start_time: 2.7,end_time: 2.8 
Word: and, start_time: 2.8,end_time: 3.3 
Word: your, start_time: 3.3,end_time: 3.4 
Word: husband, start_time: 3.4,end_time: 3.8 
Word: is, start_time: 3.8,end_time: 4.0 
Word: Jeff, start_time: 4.0,end_time: 4.2 
Word: Turner, start_time: 4.2,end_time: 4.4 
Word: yep, start_time: 4.6,end_time: 5.4 
Word: thanks, start_time: 5.4,end_time: 6.4 
Word: and, start_time: 6.4,end_time: 7.6 
Word: thanks, start_time: 7.6,end_time: 7.8 
Word: for, start_time: 7.8,end_time: 7.8 
Word: doing, start_time: 7.8,end_time: 8.0 
Word: that, start_time: 8.0,end_time: 8.2 
Word: again, start_time: 8.2,end_time: 8.4 
Word: in, start_time: 8.4,end_time: 8.9 
Word: addition, start_time: 8.9,end_time: 9.1 
Word: to, start_time: 9.1,end_time: 9.3 
Word: confirming, start_time: 9.3,end_time: 9.9 
Word: your, start_time: 9.9,end_time: 10.1 
Word: name, start_time: 10.1,end_time: 10.2 
Word: I, start_time: 10.2,end_time: 10.5 
Word: just, start_time: 10.5,end_time: 10.6 
Word: need, start_time: 10.6,end_time: 10.9 
Word: a, start_time: 10.9,end_time: 11.0 
Word: record, start_time: 11.0,end_time: 11.5 
Word: that, start_time: 11.5,end_time: 11.9 
Word: I've, start_time: 11.9,end_time: 12.0 
Word: provided, start_time: 12.0,end_time: 12.3 
Word: you, start_time: 12.3,end_time: 12.8 
Word: with, start_time: 12.8,end_time: 13.0 
Word: the, start_time: 13.0,end_time: 13.1 
Word: disclosures, start_time: 13.1,end_time: 13.8 
Word: and, start_time: 13.8,end_time: 14.4 
Word: also, start_time: 14.4,end_time: 14.8 
Word: need, start_time: 14.8,end_time: 15.1 
Word: you, start_time: 15.1,end_time: 15.2 
Word: to, start_time: 15.2,end_time: 15.2 
Word: sign, start_time: 15.2,end_time: 15.5 
Word: it, start_time: 15.5,end_time: 15.8 
Word: but, start_time: 15.8,end_time: 16.7 
Word: to, start_time: 16.7,end_time: 16.8 
Word: make, start_time: 16.8,end_time: 17.0 
Word: things, start_time: 17.0,end_time: 17.1 
Word: easier, start_time: 17.1,end_time: 17.8 
Word: for, start_time: 17.8,end_time: 17.9 
Word: you, start_time: 17.9,end_time: 18.3 
Word: instead, start_time: 18.3,end_time: 18.6 
Word: of, start_time: 18.6,end_time: 19.0 
Word: having, start_time: 19.0,end_time: 19.1 
Word: to, start_time: 19.1,end_time: 19.3 
Word: physically, start_time: 19.3,end_time: 19.7 
Word: sign, start_time: 19.7,end_time: 20.0 
Word: something, start_time: 20.0,end_time: 20.6 
Word: we, start_time: 20.6,end_time: 21.2 
Word: can, start_time: 21.2,end_time: 21.4 
Word: actually, start_time: 21.4,end_time: 21.6 
Word: have, start_time: 21.6,end_time: 21.9 
Word: you, start_time: 21.9,end_time: 22.0 
Word: sign, start_time: 22.0,end_time: 22.2 
Word: over, start_time: 22.2,end_time: 22.4 
Word: the, start_time: 22.4,end_time: 22.6 
Word: phone, start_time: 22.6,end_time: 22.8 
Word: now, start_time: 22.8,end_time: 23.0 
Word: bye, start_time: 23.0,end_time: 23.3 
Word: recording, start_time: 23.3,end_time: 23.9 
Word: this, start_time: 23.9,end_time: 24.0 
Word: conversation, start_time: 24.0,end_time: 24.4 
Word: is, start_time: 24.4,end_time: 25.1 
Word: that, start_time: 25.1,end_time: 25.2 
Word: arrived, start_time: 25.2,end_time: 25.5 
Word: yet, start_time: 25.5,end_time: 26.4 
Word: awesome, start_time: 27.4,end_time: 28.1 
Word: and, start_time: 28.1,end_time: 28.9 
Word: just, start_time: 28.9,end_time: 29.0 
Word: let, start_time: 29.0,end_time: 29.4 
Word: you, start_time: 29.4,end_time: 29.5 
Word: know, start_time: 29.5,end_time: 29.6 
Word: Caroline, start_time: 29.6,end_time: 30.1 
Word: our, start_time: 30.1,end_time: 30.3 
Word: service, start_time: 30.3,end_time: 30.7 
Word: is, start_time: 30.7,end_time: 30.8 
Word: free, start_time: 30.8,end_time: 31.0 
Word: to, start_time: 31.0,end_time: 31.3 
Word: you, start_time: 31.3,end_time: 31.4 
Word: because, start_time: 31.4,end_time: 32.2 
Word: we, start_time: 32.2,end_time: 32.6 
Word: are, start_time: 32.6,end_time: 32.7 
Word: paid, start_time: 32.7,end_time: 33.0 
Word: a, start_time: 33.0,end_time: 33.2 
Word: referral, start_time: 33.2,end_time: 33.4 
Word: fee, start_time: 33.4,end_time: 33.8 
Word: by, start_time: 33.8,end_time: 34.2 
Word: our, start_time: 34.2,end_time: 34.4 
Word: partner, start_time: 34.4,end_time: 34.9 
Word: communities, start_time: 34.9,end_time: 35.0 
Word: only, start_time: 35.0,end_time: 36.4 
Word: if, start_time: 36.4,end_time: 36.6 
Word: we, start_time: 36.6,end_time: 36.7 
Word: help, start_time: 36.7,end_time: 36.9 
Word: you, start_time: 36.9,end_time: 37.0 
Word: find, start_time: 37.0,end_time: 37.4 
Word: a, start_time: 37.4,end_time: 37.4 
Word: good, start_time: 37.4,end_time: 37.5 
Word: fit, start_time: 37.5,end_time: 37.6 
Word: you, start_time: 37.6,end_time: 38.1 
Word: decide, start_time: 38.1,end_time: 38.5 
Word: to, start_time: 38.5,end_time: 38.7 
Word: move, start_time: 38.7,end_time: 38.8 
Word: in, start_time: 38.8,end_time: 39.0 
Word: today, start_time: 39.0,end_time: 40.2 
Word: for, start_time: 40.2,end_time: 40.6 
Word: the, start_time: 40.6,end_time: 40.7 
Word: community, start_time: 40.7,end_time: 41.3 
Word: ranges, start_time: 41.3,end_time: 41.9 
Word: from, start_time: 41.9,end_time: 42.2 
Word: 78%, start_time: 42.2,end_time: 43.5 
Word: to, start_time: 43.5,end_time: 43.7 
Word: 120%, start_time: 43.7,end_time: 45.0 
Word: of, start_time: 45.0,end_time: 45.0 
Word: the, start_time: 45.0,end_time: 45.1 
Word: first, start_time: 45.1,end_time: 45.4 
Word: month's, start_time: 45.4,end_time: 45.7 
Word: rent, start_time: 45.7,end_time: 45.7 
Word: depending, start_time: 46.0,end_time: 46.8 
Word: upon, start_time: 46.8,end_time: 47.0 
Word: the, start_time: 47.0,end_time: 47.2 
Word: agreement, start_time: 47.2,end_time: 47.7 
Word: with, start_time: 47.7,end_time: 47.7 
Word: the, start_time: 47.7,end_time: 47.9 
Word: community, start_time: 47.9,end_time: 48.3 
Word: no, start_time: 48.3,end_time: 49.0 
Word: one, start_time: 49.0,end_time: 49.2 
Word: can, start_time: 49.2,end_time: 49.4 
Word: ever, start_time: 49.4,end_time: 49.5 
Word: charge, start_time: 49.5,end_time: 50.0 
Word: you, start_time: 50.0,end_time: 50.0 
Word: more, start_time: 50.0,end_time: 50.2 
Word: because, start_time: 50.2,end_time: 50.6 
Word: you, start_time: 50.6,end_time: 50.9 
Word: use, start_time: 50.9,end_time: 51.2 
Word: our, start_time: 51.2,end_time: 51.3 
Word: services, start_time: 51.3,end_time: 51.8 
Word: do, start_time: 51.8,end_time: 52.7 
Word: you, start_time: 52.7,end_time: 52.8 
Word: understand, start_time: 52.8,end_time: 53.5 
Word: that, start_time: 53.5,end_time: 53.6 
Word: our, start_time: 53.6,end_time: 53.8 
Word: services, start_time: 53.8,end_time: 54.4 
Word: are, start_time: 54.4,end_time: 54.7 
Word: free, start_time: 54.7,end_time: 55.0 
Word: to, start_time: 55.0,end_time: 55.4 
Word: you, start_time: 55.4,end_time: 55.6 
Word: yes, start_time: 55.8,end_time: 56.7 
