Below is Time Logs: 
Below is time_logs: for gs://apfm-dev/LID19657381_CID86151902_Ruth Anne_Maul_20200213.wav
Word: confirm, start_time: 0.0,end_time: 0.4 
Word: physically, start_time: 11.7,end_time: 12.2 
Word: signing, start_time: 12.2,end_time: 12.6 
Word: something, start_time: 12.6,end_time: 12.9 
Word: we, start_time: 12.9,end_time: 13.5 
Word: can, start_time: 13.5,end_time: 13.6 
Word: actually, start_time: 13.6,end_time: 13.7 
Word: have, start_time: 13.7,end_time: 14.2 
Word: you, start_time: 14.2,end_time: 14.3 
Word: sign, start_time: 14.3,end_time: 14.5 
Word: over, start_time: 14.5,end_time: 14.7 
Word: the, start_time: 14.7,end_time: 14.8 
Word: phone, start_time: 14.8,end_time: 15.1 
Word: right, start_time: 15.1,end_time: 15.2 
Word: now, start_time: 15.2,end_time: 15.4 
Word: I, start_time: 15.4,end_time: 15.4 
Word: just, start_time: 15.4,end_time: 15.5 
Word: by, start_time: 15.5,end_time: 15.8 
Word: recording, start_time: 15.8,end_time: 16.2 
Word: this, start_time: 16.2,end_time: 16.3 
Word: conversation, start_time: 16.3,end_time: 16.6 
Word: is, start_time: 16.6,end_time: 17.2 
Word: that, start_time: 17.2,end_time: 17.3 
Word: alright, start_time: 17.3,end_time: 17.4 
Word: okay, start_time: 17.4,end_time: 18.2 
Word: that's, start_time: 18.2,end_time: 18.4 
Word: okay, start_time: 18.4,end_time: 19.4 
Word: so, start_time: 19.4,end_time: 19.8 
Word: just, start_time: 19.8,end_time: 19.9 
Word: to, start_time: 19.9,end_time: 20.1 
Word: let, start_time: 20.1,end_time: 20.2 
Word: you, start_time: 20.2,end_time: 20.3 
Word: know, start_time: 20.3,end_time: 20.4 
Word: our, start_time: 20.4,end_time: 21.5 
Word: service, start_time: 21.5,end_time: 21.6 
Word: is, start_time: 21.6,end_time: 21.8 
Word: free, start_time: 21.8,end_time: 22.0 
Word: to, start_time: 22.0,end_time: 22.3 
Word: you, start_time: 22.3,end_time: 22.4 
Word: because, start_time: 22.4,end_time: 23.2 
Word: we, start_time: 23.2,end_time: 23.3 
Word: are, start_time: 23.3,end_time: 23.4 
Word: paid, start_time: 23.4,end_time: 23.6 
Word: a, start_time: 23.6,end_time: 23.8 
Word: referral, start_time: 23.8,end_time: 24.0 
Word: fee, start_time: 24.0,end_time: 24.3 
Word: by, start_time: 24.3,end_time: 24.6 
Word: our, start_time: 24.6,end_time: 24.8 
Word: partner, start_time: 24.8,end_time: 25.2 
Word: communities, start_time: 25.2,end_time: 25.3 
Word: only, start_time: 25.3,end_time: 26.2 
Word: as, start_time: 26.2,end_time: 26.3 
Word: we, start_time: 26.3,end_time: 26.4 
Word: hope, start_time: 26.4,end_time: 26.6 
Word: you, start_time: 26.6,end_time: 26.8 
Word: find, start_time: 26.8,end_time: 26.8 
Word: a, start_time: 26.8,end_time: 27.1 
Word: good, start_time: 27.1,end_time: 27.1 
Word: fit, start_time: 27.1,end_time: 27.3 
Word: and, start_time: 27.3,end_time: 28.0 
Word: you, start_time: 28.0,end_time: 28.1 
Word: decide, start_time: 28.1,end_time: 28.4 
Word: to, start_time: 28.4,end_time: 28.6 
Word: move, start_time: 28.6,end_time: 28.7 
Word: your, start_time: 28.7,end_time: 28.9 
Word: mom, start_time: 28.9,end_time: 29.0 
Word: in, start_time: 29.0,end_time: 29.2 
Word: that, start_time: 29.2,end_time: 30.3 
Word: referral, start_time: 30.3,end_time: 30.9 
Word: fee, start_time: 30.9,end_time: 31.1 
Word: that, start_time: 31.1,end_time: 31.3 
Word: the, start_time: 31.3,end_time: 31.4 
Word: communities, start_time: 31.4,end_time: 31.8 
Word: paid, start_time: 31.8,end_time: 32.0 
Word: to, start_time: 32.0,end_time: 32.2 
Word: us, start_time: 32.2,end_time: 32.3 
Word: ranges, start_time: 32.3,end_time: 32.8 
Word: from, start_time: 32.8,end_time: 33.0 
Word: 78%, start_time: 33.0,end_time: 34.1 
Word: to, start_time: 34.1,end_time: 34.1 
Word: 120%, start_time: 34.1,end_time: 35.4 
Word: of, start_time: 35.4,end_time: 35.4 
Word: the, start_time: 35.4,end_time: 35.6 
Word: first, start_time: 35.6,end_time: 35.9 
Word: month's, start_time: 35.9,end_time: 36.1 
Word: rent, start_time: 36.1,end_time: 36.2 
Word: depending, start_time: 36.2,end_time: 36.9 
Word: upon, start_time: 36.9,end_time: 37.1 
Word: the, start_time: 37.1,end_time: 37.3 
Word: agreement, start_time: 37.3,end_time: 37.8 
Word: but, start_time: 37.8,end_time: 38.3 
Word: no, start_time: 38.3,end_time: 38.5 
Word: one, start_time: 38.5,end_time: 38.6 
Word: can, start_time: 38.6,end_time: 38.8 
Word: never, start_time: 38.8,end_time: 38.8 
Word: charge, start_time: 38.8,end_time: 39.3 
Word: you, start_time: 39.3,end_time: 39.3 
Word: more, start_time: 39.3,end_time: 39.5 
Word: because, start_time: 39.5,end_time: 39.8 
Word: you've, start_time: 39.8,end_time: 40.1 
Word: used, start_time: 40.1,end_time: 40.3 
Word: our, start_time: 40.3,end_time: 40.4 
Word: services, start_time: 40.4,end_time: 40.8 
Word: so, start_time: 40.8,end_time: 41.1 
Word: you, start_time: 41.1,end_time: 41.1 
Word: would, start_time: 41.1,end_time: 41.3 
Word: never, start_time: 41.3,end_time: 41.5 
Word: see, start_time: 41.5,end_time: 41.7 
Word: any, start_time: 41.7,end_time: 42.0 
Word: additional, start_time: 42.0,end_time: 42.4 
Word: fees, start_time: 42.4,end_time: 42.8 
Word: or, start_time: 42.8,end_time: 43.0 
Word: increase, start_time: 43.0,end_time: 43.4 
Word: different, start_time: 43.4,end_time: 43.6 
Word: rates, start_time: 43.6,end_time: 43.9 
Word: anything, start_time: 43.9,end_time: 44.2 
Word: like, start_time: 44.2,end_time: 44.4 
Word: that, start_time: 44.4,end_time: 44.4 
Word: related, start_time: 44.4,end_time: 44.7 
Word: to, start_time: 44.7,end_time: 44.9 
Word: working, start_time: 44.9,end_time: 45.3 
Word: with, start_time: 45.3,end_time: 45.4 
Word: A, start_time: 45.4,end_time: 45.5 
Word: Place, start_time: 45.5,end_time: 45.7 
Word: for, start_time: 45.7,end_time: 45.8 
Word: Mom, start_time: 45.8,end_time: 45.9 
Word: so, start_time: 45.9,end_time: 46.7 
Word: do, start_time: 46.7,end_time: 46.7 
Word: you, start_time: 46.7,end_time: 46.8 
Word: understand, start_time: 46.8,end_time: 47.2 
Word: that, start_time: 47.2,end_time: 47.3 
Word: our, start_time: 47.3,end_time: 47.4 
Word: services, start_time: 47.4,end_time: 47.9 
Word: are, start_time: 47.9,end_time: 48.0 
Word: free, start_time: 48.0,end_time: 48.2 
Word: to, start_time: 48.2,end_time: 48.6 
Word: you, start_time: 48.6,end_time: 48.8 
Word: yes, start_time: 49.9,end_time: 50.4 
Word: I, start_time: 50.4,end_time: 50.5 
Word: do, start_time: 50.5,end_time: 50.7 
Word: confirm, start_time: 0.0,end_time: 0.4 
Word: your, start_time: 0.4,end_time: 0.6000000000000001 
Word: name, start_time: 0.6000000000000001,end_time: 0.7000000000000001 
Word: is, start_time: 0.7000000000000001,end_time: 0.9 
Word: Kristie, start_time: 0.9,end_time: 1.4 
Word: Grace, start_time: 1.4,end_time: 1.7000000000000002 
Word: is, start_time: 1.7000000000000002,end_time: 2.0 
Word: that, start_time: 2.0,end_time: 2.1 
Word: correct, start_time: 2.1,end_time: 2.3 
Word: that's, start_time: 2.3,end_time: 3.6 
Word: correct, start_time: 3.6,end_time: 4.0 
Word: yeah, start_time: 4.0,end_time: 4.1 
Word: okay, start_time: 4.1,end_time: 4.7 
Word: so, start_time: 4.7,end_time: 5.2 
Word: in, start_time: 5.2,end_time: 5.3 
Word: addition, start_time: 5.3,end_time: 5.5 
Word: to, start_time: 5.5,end_time: 5.7 
Word: confirming, start_time: 5.7,end_time: 6.2 
Word: your, start_time: 6.2,end_time: 6.4 
Word: name, start_time: 6.4,end_time: 6.6 
Word: I, start_time: 6.6,end_time: 7.2 
Word: need, start_time: 7.2,end_time: 7.2 
Word: a, start_time: 7.2,end_time: 7.5 
Word: record, start_time: 7.5,end_time: 7.8 
Word: that, start_time: 7.8,end_time: 8.0 
Word: I, start_time: 8.0,end_time: 8.0 
Word: have, start_time: 8.0,end_time: 8.1 
Word: provided, start_time: 8.1,end_time: 8.4 
Word: you, start_time: 8.4,end_time: 8.7 
Word: with, start_time: 8.7,end_time: 8.9 
Word: these, start_time: 8.9,end_time: 9.0 
Word: disclosures, start_time: 9.0,end_time: 9.6 
Word: and, start_time: 9.6,end_time: 9.9 
Word: I, start_time: 9.9,end_time: 10.0 
Word: need, start_time: 10.0,end_time: 10.2 
Word: for, start_time: 10.2,end_time: 10.3 
Word: you, start_time: 10.3,end_time: 10.4 
Word: to, start_time: 10.4,end_time: 10.5 
Word: sign, start_time: 10.5,end_time: 10.9 
Word: it, start_time: 10.9,end_time: 11.1 
Word: but, start_time: 11.1,end_time: 11.3 
Word: instead, start_time: 11.3,end_time: 11.6 
Word: of, start_time: 11.6,end_time: 11.7 
Word: physically, start_time: 11.7,end_time: 12.2 
Word: signing, start_time: 12.2,end_time: 12.6 
Word: something, start_time: 12.6,end_time: 12.9 
Word: we, start_time: 12.9,end_time: 13.5 
Word: can, start_time: 13.5,end_time: 13.6 
Word: actually, start_time: 13.6,end_time: 13.7 
Word: have, start_time: 13.7,end_time: 14.2 
Word: you, start_time: 14.2,end_time: 14.3 
Word: sign, start_time: 14.3,end_time: 14.5 
Word: over, start_time: 14.5,end_time: 14.7 
Word: the, start_time: 14.7,end_time: 14.8 
Word: phone, start_time: 14.8,end_time: 15.1 
Word: right, start_time: 15.1,end_time: 15.2 
Word: now, start_time: 15.2,end_time: 15.4 
Word: I, start_time: 15.4,end_time: 15.4 
Word: just, start_time: 15.4,end_time: 15.5 
Word: by, start_time: 15.5,end_time: 15.8 
Word: recording, start_time: 15.8,end_time: 16.2 
Word: this, start_time: 16.2,end_time: 16.3 
Word: conversation, start_time: 16.3,end_time: 16.6 
Word: is, start_time: 16.6,end_time: 17.2 
Word: that, start_time: 17.2,end_time: 17.3 
Word: alright, start_time: 17.3,end_time: 17.4 
Word: okay, start_time: 17.4,end_time: 18.2 
Word: that's, start_time: 18.2,end_time: 18.4 
Word: okay, start_time: 18.4,end_time: 19.4 
Word: so, start_time: 19.4,end_time: 19.8 
Word: just, start_time: 19.8,end_time: 19.9 
Word: to, start_time: 19.9,end_time: 20.1 
Word: let, start_time: 20.1,end_time: 20.2 
Word: you, start_time: 20.2,end_time: 20.3 
Word: know, start_time: 20.3,end_time: 20.4 
Word: our, start_time: 20.4,end_time: 21.5 
Word: service, start_time: 21.5,end_time: 21.6 
Word: is, start_time: 21.6,end_time: 21.8 
Word: free, start_time: 21.8,end_time: 22.0 
Word: to, start_time: 22.0,end_time: 22.3 
Word: you, start_time: 22.3,end_time: 22.4 
Word: because, start_time: 22.4,end_time: 23.2 
Word: we, start_time: 23.2,end_time: 23.3 
Word: are, start_time: 23.3,end_time: 23.4 
Word: paid, start_time: 23.4,end_time: 23.6 
Word: a, start_time: 23.6,end_time: 23.8 
Word: referral, start_time: 23.8,end_time: 24.0 
Word: fee, start_time: 24.0,end_time: 24.3 
Word: by, start_time: 24.3,end_time: 24.6 
Word: our, start_time: 24.6,end_time: 24.8 
Word: partner, start_time: 24.8,end_time: 25.2 
Word: communities, start_time: 25.2,end_time: 25.3 
Word: only, start_time: 25.3,end_time: 26.2 
Word: as, start_time: 26.2,end_time: 26.3 
Word: we, start_time: 26.3,end_time: 26.4 
Word: hope, start_time: 26.4,end_time: 26.6 
Word: you, start_time: 26.6,end_time: 26.8 
Word: find, start_time: 26.8,end_time: 26.8 
Word: a, start_time: 26.8,end_time: 27.1 
Word: good, start_time: 27.1,end_time: 27.1 
Word: fit, start_time: 27.1,end_time: 27.3 
Word: and, start_time: 27.3,end_time: 28.0 
Word: you, start_time: 28.0,end_time: 28.1 
Word: decide, start_time: 28.1,end_time: 28.4 
Word: to, start_time: 28.4,end_time: 28.6 
Word: move, start_time: 28.6,end_time: 28.7 
Word: your, start_time: 28.7,end_time: 28.9 
Word: mom, start_time: 28.9,end_time: 29.0 
Word: in, start_time: 29.0,end_time: 29.2 
Word: that, start_time: 29.2,end_time: 30.3 
Word: referral, start_time: 30.3,end_time: 30.9 
Word: fee, start_time: 30.9,end_time: 31.1 
Word: that, start_time: 31.1,end_time: 31.3 
Word: the, start_time: 31.3,end_time: 31.4 
Word: communities, start_time: 31.4,end_time: 31.8 
Word: paid, start_time: 31.8,end_time: 32.0 
Word: to, start_time: 32.0,end_time: 32.2 
Word: us, start_time: 32.2,end_time: 32.3 
Word: ranges, start_time: 32.3,end_time: 32.8 
Word: from, start_time: 32.8,end_time: 33.0 
Word: 78%, start_time: 33.0,end_time: 34.1 
Word: to, start_time: 34.1,end_time: 34.1 
Word: 120%, start_time: 34.1,end_time: 35.4 
Word: of, start_time: 35.4,end_time: 35.4 
Word: the, start_time: 35.4,end_time: 35.6 
Word: first, start_time: 35.6,end_time: 35.9 
Word: month's, start_time: 35.9,end_time: 36.1 
Word: rent, start_time: 36.1,end_time: 36.2 
Word: depending, start_time: 36.2,end_time: 36.9 
Word: upon, start_time: 36.9,end_time: 37.1 
Word: the, start_time: 37.1,end_time: 37.3 
Word: agreement, start_time: 37.3,end_time: 37.8 
Word: but, start_time: 37.8,end_time: 38.3 
Word: no, start_time: 38.3,end_time: 38.5 
Word: one, start_time: 38.5,end_time: 38.6 
Word: can, start_time: 38.6,end_time: 38.8 
Word: never, start_time: 38.8,end_time: 38.8 
Word: charge, start_time: 38.8,end_time: 39.3 
Word: you, start_time: 39.3,end_time: 39.3 
Word: more, start_time: 39.3,end_time: 39.5 
Word: because, start_time: 39.5,end_time: 39.8 
Word: you've, start_time: 39.8,end_time: 40.1 
Word: used, start_time: 40.1,end_time: 40.3 
Word: our, start_time: 40.3,end_time: 40.4 
Word: services, start_time: 40.4,end_time: 40.8 
Word: so, start_time: 40.8,end_time: 41.1 
Word: you, start_time: 41.1,end_time: 41.1 
Word: would, start_time: 41.1,end_time: 41.3 
Word: never, start_time: 41.3,end_time: 41.5 
Word: see, start_time: 41.5,end_time: 41.7 
Word: any, start_time: 41.7,end_time: 42.0 
Word: additional, start_time: 42.0,end_time: 42.4 
Word: fees, start_time: 42.4,end_time: 42.8 
Word: or, start_time: 42.8,end_time: 43.0 
Word: increase, start_time: 43.0,end_time: 43.4 
Word: different, start_time: 43.4,end_time: 43.6 
Word: rates, start_time: 43.6,end_time: 43.9 
Word: anything, start_time: 43.9,end_time: 44.2 
Word: like, start_time: 44.2,end_time: 44.4 
Word: that, start_time: 44.4,end_time: 44.4 
Word: related, start_time: 44.4,end_time: 44.7 
Word: to, start_time: 44.7,end_time: 44.9 
Word: working, start_time: 44.9,end_time: 45.3 
Word: with, start_time: 45.3,end_time: 45.4 
Word: A, start_time: 45.4,end_time: 45.5 
Word: Place, start_time: 45.5,end_time: 45.7 
Word: for, start_time: 45.7,end_time: 45.8 
Word: Mom, start_time: 45.8,end_time: 45.9 
Word: so, start_time: 45.9,end_time: 46.7 
Word: do, start_time: 46.7,end_time: 46.7 
Word: you, start_time: 46.7,end_time: 46.8 
Word: understand, start_time: 46.8,end_time: 47.2 
Word: that, start_time: 47.2,end_time: 47.3 
Word: our, start_time: 47.3,end_time: 47.4 
Word: services, start_time: 47.4,end_time: 47.9 
Word: are, start_time: 47.9,end_time: 48.0 
Word: free, start_time: 48.0,end_time: 48.2 
Word: to, start_time: 48.2,end_time: 48.6 
Word: you, start_time: 48.6,end_time: 48.8 
Word: yes, start_time: 49.9,end_time: 50.4 
Word: I, start_time: 50.4,end_time: 50.5 
Word: do, start_time: 50.5,end_time: 50.7 
