Below is Time Logs: 
Below is time_logs: for gs://apfm-dev/LID19657601_CID86157034_Zeljka_Buckner_20200213.wav
Word: first, start_time: 0.0,end_time: 0.7000000000000001 
Word: we, start_time: 27.2,end_time: 27.5 
Word: help, start_time: 27.5,end_time: 27.7 
Word: you, start_time: 27.7,end_time: 27.8 
Word: find, start_time: 27.8,end_time: 28.0 
Word: a, start_time: 28.0,end_time: 28.1 
Word: good, start_time: 28.1,end_time: 28.2 
Word: fit, start_time: 28.2,end_time: 28.3 
Word: and, start_time: 28.3,end_time: 28.8 
Word: you, start_time: 28.8,end_time: 28.9 
Word: decide, start_time: 28.9,end_time: 29.2 
Word: to, start_time: 29.2,end_time: 29.4 
Word: move, start_time: 29.4,end_time: 29.5 
Word: your, start_time: 29.5,end_time: 29.7 
Word: mom, start_time: 29.7,end_time: 29.9 
Word: in, start_time: 29.9,end_time: 30.1 
Word: that, start_time: 30.1,end_time: 31.1 
Word: referral, start_time: 31.1,end_time: 31.5 
Word: see, start_time: 31.5,end_time: 31.7 
Word: that, start_time: 31.7,end_time: 32.0 
Word: the, start_time: 32.0,end_time: 32.1 
Word: communities, start_time: 32.1,end_time: 32.6 
Word: page, start_time: 32.6,end_time: 32.9 
Word: which, start_time: 32.9,end_time: 33.2 
Word: ranges, start_time: 33.2,end_time: 33.7 
Word: from, start_time: 33.7,end_time: 34.1 
Word: 78%, start_time: 34.1,end_time: 35.2 
Word: to, start_time: 35.2,end_time: 35.3 
Word: 120%, start_time: 35.3,end_time: 36.4 
Word: of, start_time: 36.4,end_time: 36.5 
Word: the, start_time: 36.5,end_time: 36.6 
Word: first, start_time: 36.6,end_time: 36.9 
Word: month's, start_time: 36.9,end_time: 37.2 
Word: rent, start_time: 37.2,end_time: 37.3 
Word: deposit, start_time: 37.3,end_time: 37.5 
Word: agreement, start_time: 37.5,end_time: 38.6 
Word: but, start_time: 38.6,end_time: 39.4 
Word: no, start_time: 39.4,end_time: 39.7 
Word: one, start_time: 39.7,end_time: 39.9 
Word: can, start_time: 39.9,end_time: 40.1 
Word: ever, start_time: 40.1,end_time: 40.2 
Word: do, start_time: 40.2,end_time: 40.4 
Word: it, start_time: 40.4,end_time: 40.5 
Word: tomorrow, start_time: 40.5,end_time: 40.7 
Word: because, start_time: 40.7,end_time: 41.0 
Word: you've, start_time: 41.0,end_time: 41.3 
Word: used, start_time: 41.3,end_time: 41.5 
Word: our, start_time: 41.5,end_time: 41.6 
Word: services, start_time: 41.6,end_time: 42.1 
Word: so, start_time: 42.1,end_time: 42.5 
Word: you, start_time: 42.5,end_time: 42.5 
Word: would, start_time: 42.5,end_time: 42.8 
Word: never, start_time: 42.8,end_time: 43.0 
Word: see, start_time: 43.0,end_time: 43.2 
Word: any, start_time: 43.2,end_time: 43.4 
Word: additional, start_time: 43.4,end_time: 43.8 
Word: fees, start_time: 43.8,end_time: 44.3 
Word: or, start_time: 44.3,end_time: 44.5 
Word: increase, start_time: 44.5,end_time: 44.9 
Word: rent, start_time: 44.9,end_time: 45.3 
Word: or, start_time: 45.3,end_time: 45.4 
Word: anything, start_time: 45.4,end_time: 45.6 
Word: like, start_time: 45.6,end_time: 45.8 
Word: that, start_time: 45.8,end_time: 45.9 
Word: so, start_time: 45.9,end_time: 47.0 
Word: do, start_time: 47.0,end_time: 47.1 
Word: you, start_time: 47.1,end_time: 47.2 
Word: understand, start_time: 47.2,end_time: 47.6 
Word: that, start_time: 47.6,end_time: 47.8 
Word: our, start_time: 47.8,end_time: 47.9 
Word: services, start_time: 47.9,end_time: 48.4 
Word: are, start_time: 48.4,end_time: 48.5 
Word: free, start_time: 48.5,end_time: 48.7 
Word: to, start_time: 48.7,end_time: 49.0 
Word: you, start_time: 49.0,end_time: 49.1 
Word: yes, start_time: 51.1,end_time: 52.1 
Word: ma'am, start_time: 52.1,end_time: 52.3 
Word: first, start_time: 0.0,end_time: 0.7000000000000001 
Word: let, start_time: 0.7000000000000001,end_time: 0.9 
Word: me, start_time: 0.9,end_time: 0.9 
Word: go, start_time: 0.9,end_time: 1.0 
Word: ahead, start_time: 1.0,end_time: 1.2 
Word: and, start_time: 1.2,end_time: 1.4 
Word: confirm, start_time: 1.4,end_time: 1.6 
Word: your, start_time: 1.6,end_time: 1.8 
Word: name, start_time: 1.8,end_time: 1.9 
Word: is, start_time: 1.9,end_time: 2.0 
Word: Aaron, start_time: 2.0,end_time: 2.4 
Word: Brown, start_time: 2.4,end_time: 2.7 
Word: is, start_time: 2.7,end_time: 3.1 
Word: that, start_time: 3.1,end_time: 3.3 
Word: correct, start_time: 3.3,end_time: 3.5 
Word: yes, start_time: 3.5,end_time: 5.0 
Word: or, start_time: 5.0,end_time: 5.1 
Word: no, start_time: 5.1,end_time: 5.2 
Word: okay, start_time: 5.2,end_time: 5.8 
Word: so, start_time: 5.8,end_time: 6.3 
Word: in, start_time: 6.3,end_time: 6.4 
Word: addition, start_time: 6.4,end_time: 6.6 
Word: to, start_time: 6.6,end_time: 6.8 
Word: confirming, start_time: 6.8,end_time: 7.3 
Word: your, start_time: 7.3,end_time: 7.5 
Word: name, start_time: 7.5,end_time: 7.6 
Word: I, start_time: 7.6,end_time: 8.1 
Word: need, start_time: 8.1,end_time: 8.2 
Word: a, start_time: 8.2,end_time: 8.4 
Word: record, start_time: 8.4,end_time: 8.8 
Word: that, start_time: 8.8,end_time: 9.0 
Word: I, start_time: 9.0,end_time: 9.1 
Word: provided, start_time: 9.1,end_time: 9.7 
Word: you, start_time: 9.7,end_time: 9.8 
Word: with, start_time: 9.8,end_time: 10.0 
Word: these, start_time: 10.0,end_time: 10.1 
Word: disclosures, start_time: 10.1,end_time: 10.8 
Word: and, start_time: 10.8,end_time: 11.2 
Word: I, start_time: 11.2,end_time: 11.2 
Word: need, start_time: 11.2,end_time: 11.4 
Word: for, start_time: 11.4,end_time: 11.6 
Word: you, start_time: 11.6,end_time: 11.6 
Word: to, start_time: 11.6,end_time: 11.7 
Word: sign, start_time: 11.7,end_time: 11.9 
Word: it, start_time: 11.9,end_time: 12.2 
Word: but, start_time: 12.2,end_time: 12.4 
Word: instead, start_time: 12.4,end_time: 12.7 
Word: of, start_time: 12.7,end_time: 12.8 
Word: having, start_time: 12.8,end_time: 12.9 
Word: to, start_time: 12.9,end_time: 13.1 
Word: physically, start_time: 13.1,end_time: 13.5 
Word: sign, start_time: 13.5,end_time: 13.8 
Word: something, start_time: 13.8,end_time: 14.2 
Word: we, start_time: 14.2,end_time: 14.7 
Word: can, start_time: 14.7,end_time: 14.9 
Word: actually, start_time: 14.9,end_time: 15.1 
Word: have, start_time: 15.1,end_time: 15.3 
Word: you, start_time: 15.3,end_time: 15.4 
Word: sign, start_time: 15.4,end_time: 15.7 
Word: over, start_time: 15.7,end_time: 15.8 
Word: the, start_time: 15.8,end_time: 16.0 
Word: phone, start_time: 16.0,end_time: 16.2 
Word: right, start_time: 16.2,end_time: 16.4 
Word: now, start_time: 16.4,end_time: 16.6 
Word: by, start_time: 16.6,end_time: 16.8 
Word: recording, start_time: 16.8,end_time: 17.3 
Word: this, start_time: 17.3,end_time: 17.4 
Word: conversation, start_time: 17.4,end_time: 17.8 
Word: is, start_time: 17.8,end_time: 18.3 
Word: that, start_time: 18.3,end_time: 18.4 
Word: all, start_time: 18.4,end_time: 18.5 
Word: right, start_time: 18.5,end_time: 18.6 
Word: fucker, start_time: 18.6,end_time: 19.2 
Word: yeah, start_time: 19.2,end_time: 19.8 
Word: okay, start_time: 19.8,end_time: 20.2 
Word: so, start_time: 20.2,end_time: 20.8 
Word: just, start_time: 20.8,end_time: 21.0 
Word: to, start_time: 21.0,end_time: 21.2 
Word: let, start_time: 21.2,end_time: 21.2 
Word: you, start_time: 21.2,end_time: 21.4 
Word: know, start_time: 21.4,end_time: 21.5 
Word: our, start_time: 21.5,end_time: 22.1 
Word: service, start_time: 22.1,end_time: 22.4 
Word: is, start_time: 22.4,end_time: 22.6 
Word: free, start_time: 22.6,end_time: 22.8 
Word: to, start_time: 22.8,end_time: 23.2 
Word: you, start_time: 23.2,end_time: 23.3 
Word: because, start_time: 23.3,end_time: 23.9 
Word: we're, start_time: 23.9,end_time: 24.2 
Word: paid, start_time: 24.2,end_time: 24.5 
Word: a, start_time: 24.5,end_time: 24.7 
Word: referral, start_time: 24.7,end_time: 24.8 
Word: fee, start_time: 24.8,end_time: 25.2 
Word: by, start_time: 25.2,end_time: 25.5 
Word: our, start_time: 25.5,end_time: 25.7 
Word: partner, start_time: 25.7,end_time: 26.1 
Word: communities, start_time: 26.1,end_time: 26.2 
Word: only, start_time: 26.2,end_time: 27.2 
Word: we, start_time: 27.2,end_time: 27.5 
Word: help, start_time: 27.5,end_time: 27.7 
Word: you, start_time: 27.7,end_time: 27.8 
Word: find, start_time: 27.8,end_time: 28.0 
Word: a, start_time: 28.0,end_time: 28.1 
Word: good, start_time: 28.1,end_time: 28.2 
Word: fit, start_time: 28.2,end_time: 28.3 
Word: and, start_time: 28.3,end_time: 28.8 
Word: you, start_time: 28.8,end_time: 28.9 
Word: decide, start_time: 28.9,end_time: 29.2 
Word: to, start_time: 29.2,end_time: 29.4 
Word: move, start_time: 29.4,end_time: 29.5 
Word: your, start_time: 29.5,end_time: 29.7 
Word: mom, start_time: 29.7,end_time: 29.9 
Word: in, start_time: 29.9,end_time: 30.1 
Word: that, start_time: 30.1,end_time: 31.1 
Word: referral, start_time: 31.1,end_time: 31.5 
Word: see, start_time: 31.5,end_time: 31.7 
Word: that, start_time: 31.7,end_time: 32.0 
Word: the, start_time: 32.0,end_time: 32.1 
Word: communities, start_time: 32.1,end_time: 32.6 
Word: page, start_time: 32.6,end_time: 32.9 
Word: which, start_time: 32.9,end_time: 33.2 
Word: ranges, start_time: 33.2,end_time: 33.7 
Word: from, start_time: 33.7,end_time: 34.1 
Word: 78%, start_time: 34.1,end_time: 35.2 
Word: to, start_time: 35.2,end_time: 35.3 
Word: 120%, start_time: 35.3,end_time: 36.4 
Word: of, start_time: 36.4,end_time: 36.5 
Word: the, start_time: 36.5,end_time: 36.6 
Word: first, start_time: 36.6,end_time: 36.9 
Word: month's, start_time: 36.9,end_time: 37.2 
Word: rent, start_time: 37.2,end_time: 37.3 
Word: deposit, start_time: 37.3,end_time: 37.5 
Word: agreement, start_time: 37.5,end_time: 38.6 
Word: but, start_time: 38.6,end_time: 39.4 
Word: no, start_time: 39.4,end_time: 39.7 
Word: one, start_time: 39.7,end_time: 39.9 
Word: can, start_time: 39.9,end_time: 40.1 
Word: ever, start_time: 40.1,end_time: 40.2 
Word: do, start_time: 40.2,end_time: 40.4 
Word: it, start_time: 40.4,end_time: 40.5 
Word: tomorrow, start_time: 40.5,end_time: 40.7 
Word: because, start_time: 40.7,end_time: 41.0 
Word: you've, start_time: 41.0,end_time: 41.3 
Word: used, start_time: 41.3,end_time: 41.5 
Word: our, start_time: 41.5,end_time: 41.6 
Word: services, start_time: 41.6,end_time: 42.1 
Word: so, start_time: 42.1,end_time: 42.5 
Word: you, start_time: 42.5,end_time: 42.5 
Word: would, start_time: 42.5,end_time: 42.8 
Word: never, start_time: 42.8,end_time: 43.0 
Word: see, start_time: 43.0,end_time: 43.2 
Word: any, start_time: 43.2,end_time: 43.4 
Word: additional, start_time: 43.4,end_time: 43.8 
Word: fees, start_time: 43.8,end_time: 44.3 
Word: or, start_time: 44.3,end_time: 44.5 
Word: increase, start_time: 44.5,end_time: 44.9 
Word: rent, start_time: 44.9,end_time: 45.3 
Word: or, start_time: 45.3,end_time: 45.4 
Word: anything, start_time: 45.4,end_time: 45.6 
Word: like, start_time: 45.6,end_time: 45.8 
Word: that, start_time: 45.8,end_time: 45.9 
Word: so, start_time: 45.9,end_time: 47.0 
Word: do, start_time: 47.0,end_time: 47.1 
Word: you, start_time: 47.1,end_time: 47.2 
Word: understand, start_time: 47.2,end_time: 47.6 
Word: that, start_time: 47.6,end_time: 47.8 
Word: our, start_time: 47.8,end_time: 47.9 
Word: services, start_time: 47.9,end_time: 48.4 
Word: are, start_time: 48.4,end_time: 48.5 
Word: free, start_time: 48.5,end_time: 48.7 
Word: to, start_time: 48.7,end_time: 49.0 
Word: you, start_time: 49.0,end_time: 49.1 
Word: yes, start_time: 51.1,end_time: 52.1 
Word: ma'am, start_time: 52.1,end_time: 52.3 
